,NPHS,NPHS,NPHS,NPHS,NPHS,NPHS,,,,,,
,2019,2020,2021,2022,2023,2024,,,,,,
Total,47.8,60.4,58.3,56.6,62.8,64,,,,,,
ASR,47.8,60.4,58.3,56.8,63,64.2,,,,,,
18-29,54.6,63.3,62.2,60.1,64.5,66.5,,,,,,
30-39,53.5,69.4,67.7,62,71.9,70.9,,,,,,
40-49,47,63.8,65.4,59.2,67.4,67.4,,,,,,
50-59,42.9,58.9,51.9,55.2,61,62.6,,,,,,
60-74,41.2,47.8,45.8,48.1,51.2,54.7,,,,,,
Males,45.4,59,56.8,56.3,62.3,62.8,,,,,,
Females,50.1,61.6,59.8,57,63.3,65.1,,,,,,
Primary,29.6,34.1,34.9,33.7,37.4,38.9,,,,,,
Secondary,44,52.5,45.8,48,52.9,53.5,,,,,,
Post-Secondary,53.5,68.9,67.6,64,70.7,71.5,,,,,,
Chinese,48.2,61.5,58.6,56.4,62.4,64.3,,,,,,
Malays,48.5,54,55.2,53.7,61,61.1,,,,,,
Indians,44.4,59.3,57.1,60.1,65.6,63.7,,,,,,
