Employee_ID,Age,Gender,Department,Job_Role,Work_Experience,Work_Hours_per_Week,Remote_Work,Workload_Score,Job_Satisfaction,Sleep_Hours,Physical_Activity_Hrs,Caffeine_Intake,Stress_Level,Mental_Health_Score
E0001,50,Male,Finance,Intern,24,48,Yes,3,2,6.3,1.8,1,3.5,68.7
E0002,36,Male,IT,Team Lead,25,30,Yes,7,4,4.1,1.7,1,7.0,48.4
E0003,29,Male,Finance,Intern,29,69,Yes,7,4,5.9,0.7,4,5.1,61.2
E0004,42,Female,Finance,Team Lead,15,61,No,8,3,7.9,1.1,6,7.4,40.2
E0005,40,Female,Finance,Analyst,26,51,Yes,7,8,8.1,1.9,4,3.3,71.8
E0006,44,Female,HR,Analyst,8,58,No,3,7,7.5,0.5,5,1.0,91.5
E0007,32,Female,HR,Analyst,19,31,Yes,4,2,7.5,1.5,4,5.3,62.9
E0008,32,Male,IT,Team Lead,24,69,No,3,3,6.5,0.2,5,4.4,62.2
E0009,45,Male,Marketing,Developer,16,67,No,6,9,6.7,1.0,5,5.3,52.9
E0010,57,Female,Marketing,Analyst,6,40,No,9,5,7.7,1.8,2,6.7,48.4
E0011,45,Male,Marketing,Intern,29,46,Yes,5,2,5.2,1.1,2,5.3,60.6
E0012,24,Female,IT,Executive,6,37,No,5,3,5.2,1.2,2,5.2,62.8
E0013,43,Female,Marketing,Team Lead,22,51,Yes,6,8,8.7,1.8,2,7.2,41.3
E0014,23,Male,Marketing,Intern,3,33,Yes,6,4,4.1,1.4,0,5.3,56.6
E0015,45,Female,Finance,Manager,10,40,No,9,2,4.7,1.4,2,8.6,40.0
E0016,51,Female,HR,Manager,1,37,No,9,2,6.9,1.2,2,8.0,40.0
E0017,59,Female,HR,Executive,28,38,Yes,5,6,7.7,1.3,2,4.9,60.5
E0018,23,Male,Finance,Developer,14,55,Yes,9,8,6.7,1.6,5,6.4,50.3
E0019,42,Male,Finance,Analyst,4,31,No,9,7,5.8,2.0,1,6.2,49.1
E0020,54,Female,Finance,Team Lead,26,45,No,9,4,8.9,1.6,6,5.0,60.9
E0021,33,Male,HR,Intern,12,60,Yes,8,2,7.5,1.4,1,7.2,43.3
E0022,43,Male,Marketing,Analyst,6,35,No,4,9,8.2,0.3,1,3.0,78.5
E0023,46,Female,Finance,Intern,11,50,Yes,9,4,4.2,1.6,3,7.7,40.0
E0024,48,Male,IT,Team Lead,12,55,No,4,9,5.2,1.5,0,4.1,68.3
E0025,49,Female,Finance,Manager,10,48,No,4,5,5.9,1.5,5,4.2,62.9
E0026,37,Female,Sales,Analyst,18,57,Yes,6,7,4.9,0.5,4,4.6,68.8
E0027,36,Female,Finance,Executive,7,37,No,9,5,4.4,1.8,5,8.1,40.0
E0028,24,Male,HR,Developer,7,43,Yes,5,2,5.1,0.2,2,5.8,48.6
E0029,58,Female,Finance,Executive,11,53,No,8,6,6.7,0.5,1,5.6,63.5
