year,industry1,industry2,occupation1,retrench
1998,total,total,total,32800
1998,total,total,"professionals, managers, executives and technicians",6100
1998,total,total,"clerical, sales and services workers",5440
1998,total,total,"production and transport operators, cleaners and labourers",21260
1998,manufacturing,"food, beverages and tobacco",total,230
1998,manufacturing,"food, beverages and tobacco","professionals, managers, executives and technicians",10
1998,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",20
1998,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",200
1998,manufacturing,textile and wearing apparel,total,310
1998,manufacturing,textile and wearing apparel,"professionals, managers, executives and technicians",10
1998,manufacturing,textile and wearing apparel,"clerical, sales and services workers",80
1998,manufacturing,textile and wearing apparel,"production and transport operators, cleaners and labourers",230
1998,manufacturing,paper products and publishing,total,510
1998,manufacturing,paper products and publishing,"professionals, managers, executives and technicians",30
1998,manufacturing,paper products and publishing,"clerical, sales and services workers",60
1998,manufacturing,paper products and publishing,"production and transport operators, cleaners and labourers",420
1998,manufacturing,petroleum and chemical products,total,500
1998,manufacturing,petroleum and chemical products,"professionals, managers, executives and technicians",80
1998,manufacturing,petroleum and chemical products,"clerical, sales and services workers",80
1998,manufacturing,petroleum and chemical products,"production and transport operators, cleaners and labourers",340
1998,manufacturing,rubber and plastic products,total,1100
1998,manufacturing,rubber and plastic products,"professionals, managers, executives and technicians",70
1998,manufacturing,rubber and plastic products,"clerical, sales and services workers",40
1998,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",1000
1998,manufacturing,fabricated metal products,total,1080
1998,manufacturing,fabricated metal products,"professionals, managers, executives and technicians",100
1998,manufacturing,fabricated metal products,"clerical, sales and services workers",60
1998,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",930
1998,manufacturing,machinery and equipment,total,1840
1998,manufacturing,machinery and equipment,"professionals, managers, executives and technicians",250
1998,manufacturing,machinery and equipment,"clerical, sales and services workers",160
1998,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",1430
1998,manufacturing,electrical products,total,1520
1998,manufacturing,electrical products,"professionals, managers, executives and technicians",110
1998,manufacturing,electrical products,"clerical, sales and services workers",90
1998,manufacturing,electrical products,"production and transport operators, cleaners and labourers",1330
